"binomial","fb_name"
"Abramis brama","Abramis brama"
"Acanthodoras spinosissimus","Acanthodoras spinosissimus"
"Acanthodraco dewitti","Acanthodraco dewitti"
"Acanthopagrus butcheri","Acanthopagrus butcheri"
"Acipenser naccarii","Acipenser naccarii"
"Acipenser schrenckii","Acipenser schrenckii"
"Acromycter nezumi","Acromycter nezumi"
"Aculeola nigra","Aculeola nigra"
"Aetomylaeus nichofii","Aetomylaeus nichofii"
"Ageneiosus inermis","Ageneiosus inermis"
"Ageneiosus militaris","Ageneiosus militaris"
"Agonostomus monticola","Dajaus monticola"
"Ailia coila","Ailia coila"
"Albula argentea","Albula argentea"
"Albula nemoptera","Albula nemoptera"
"Alburnus tarichi","Alburnus tarichi"
"Alepes melanoptera","Alepes melanoptera"
"Alestes baremoze","Alestes baremoze"
"Alestes dentex","Alestes dentex"
"Alestes macrophthalmus","Alestes macrophthalmus"
"Algansea popoche","Algansea popoche"
"Alopias pelagicus","Alopias pelagicus"
"Alphestes multiguttatus","Alphestes multiguttatus"
"Amblyeleotris diagonalis","Amblyeleotris diagonalis"
"Amblygaster clupeoides","Amblygaster clupeoides"
"Amblygaster leiogaster","Amblygaster leiogaster"
"Amblypharyngodon mola","Amblypharyngodon mola"
"Amblyraja badia","Amblyraja badia"
"Amblyraja frerichsi","Amblyraja frerichsi"
"Amblyraja radiata","Amblyraja radiata"
"Ambophthalmos angustus","Ambophthalmos angustus"
"Ameiurus catus","Ameiurus catus"
"Ameiurus melas","Ameiurus melas"
"Amphiarius rugispinis","Amphiarius rugispinis"
"Anabas testudineus","Anabas testudineus"
"Anarchopterus criniger","Anarchopterus criniger"
"Anchoa argentivittata","Anchoa argentivittata"
"Anchoa compressa","Anchoa compressa"
"Anchoa pectoralis","Anchoa pectoralis"
"Anchovia clupeoides","Anchovia clupeoides"
"Anchovia macrolepidota","Anchovia macrolepidota"
"Anchoviella lepidentostole","Anchoviella lepidentostole"
"Ancylopsetta dendritica","Ancylopsetta dendritica"
"Anematichthys repasson","Anematichthys repasson"
"Anguilla bengalensis","Anguilla bengalensis"
"Anisarchus macrops","Anisarchus macrops"
"Anodus elongatus","Anodus elongatus"
"Antigonia capros","Antigonia capros"
"Apocryptes bato","Apocryptes bato"
"Apristurus nasutus","Apristurus nasutus"
"Apristurus riveri","Apristurus riveri"
"Apsilus dentatus","Apsilus dentatus"
"Arabibarbus grypus","Arabibarbus grypus"
"Arapaima gigas","Arapaima gigas"
"Archistes biseriatus","Archistes biseriatus"
"Argentina elongata","Argentina elongata"
"Argyrosomus amoyensis","Argyrosomus amoyensis"
"Argyrosomus inodorus","Argyrosomus inodorus"
"Arhynchobatis asperrimus","Arhynchobatis asperrimus"
"Ariopsis assimilis","Ariopsis assimilis"
"Ariopsis guatemalensis","Ariopsis guatemalensis"
"Arius gigas","Carlarius gigas"
"Arius latiscutatus","Carlarius latiscutatus"
"Arnoglossus imperialis","Arnoglossus imperialis"
"Arnoglossus kessleri","Arnoglossus kessleri"
"Arnoglossus thori","Arnoglossus thori"
"Artedidraco glareobarbatus","Artedidraco glareobarbatus"
"Aspistor luniscutis","Aspistor luniscutis"
"Assurger anzac","Assurger anzac"
"Astronotus ocellatus","Astronotus ocellatus"
"Atelomycterus marmoratus","Atelomycterus marmoratus"
"Atherinopsis californiensis","Atherinopsis californiensis"
"Atropus atropos","Atropus atropos"
"Auchenoglanis biscutatus","Auchenoglanis biscutatus"
"Auchenoglanis occidentalis","Auchenoglanis occidentalis"
"Aulonocara gertrudae","Aulonocara gertrudae"
"Aulotrachichthys novaezelandicus","Aulotrachichthys novaezelandicus"
"Awaous grammepomus","Awaous grammepomus"
